taxonUUID,taxonRank,parentUUID,kingdom,simplifiedScientificName,nativeness,protectedStatusTW,categoryRedlistTW,categoryIUCN,groupID,reason,check_column,filtered_values,number_of_occurrence,TT_URL
ce85e6b5-7895-4322-ab6f-5c8c5dfd69c7,infraspecies,00e3de5a-73c9-47e5-9fa1-3306881800e8,Plantae,Cheirostylis tortilacinia rubrifolia,原生 Native,"","資料缺乏（DD, Data Deficient）","",00e3de5a-73c9-47e5-9fa1-3306881800e8,國內紅皮書不同,categoryRedlistTW,"資料缺乏（DD, Data Deficient）;接近受脅（NT, Near Threatened）;",0,https://taxatree.tbn.org.tw/taxa/ce85e6b5-7895-4322-ab6f-5c8c5dfd69c7
00e3de5a-73c9-47e5-9fa1-3306881800e8,species,47c1aecf-d05e-42b0-97f6-59719cd7204e,Plantae,Cheirostylis tortilacinia,原生 Native,"","接近受脅（NT, Near Threatened）","",00e3de5a-73c9-47e5-9fa1-3306881800e8,國內紅皮書不同,categoryRedlistTW,"資料缺乏（DD, Data Deficient）;接近受脅（NT, Near Threatened）;",20,https://taxatree.tbn.org.tw/taxa/00e3de5a-73c9-47e5-9fa1-3306881800e8
d2f09a9a-5397-422d-875e-1f22a49e0154,infraspecies,00e3de5a-73c9-47e5-9fa1-3306881800e8,Plantae,Cheirostylis tortilacinia tortilacinia,原生 Native,"","接近受脅（NT, Near Threatened）","",00e3de5a-73c9-47e5-9fa1-3306881800e8,國內紅皮書不同,categoryRedlistTW,"資料缺乏（DD, Data Deficient）;接近受脅（NT, Near Threatened）;",0,https://taxatree.tbn.org.tw/taxa/d2f09a9a-5397-422d-875e-1f22a49e0154
544f3e5d-29db-43ae-92e3-7bef7fb030f1,infraspecies,00e3de5a-73c9-47e5-9fa1-3306881800e8,Plantae,Cheirostylis tortilacinia wutaiensis,原生 Native,"","","",00e3de5a-73c9-47e5-9fa1-3306881800e8,國內紅皮書不同,categoryRedlistTW,"資料缺乏（DD, Data Deficient）;接近受脅（NT, Near Threatened）;",3,https://taxatree.tbn.org.tw/taxa/544f3e5d-29db-43ae-92e3-7bef7fb030f1
020cfe70-d7cd-4b60-a9ea-a3e5750cef75,species,37cef62b-c2b3-4f2d-8bb3-2be58aac4398,Plantae,Hemerocallis fulva,原生 Native,"","","",020cfe70-d7cd-4b60-a9ea-a3e5750cef75,國內紅皮書不同,categoryRedlistTW,";資料缺乏（DD, Data Deficient）",152,https://taxatree.tbn.org.tw/taxa/020cfe70-d7cd-4b60-a9ea-a3e5750cef75
b340ba34-7986-410f-9d8d-f18e58127fb4,infraspecies,020cfe70-d7cd-4b60-a9ea-a3e5750cef75,Plantae,Hemerocallis fulva fulva,外來栽培 Cultivated (non-native),"","","",020cfe70-d7cd-4b60-a9ea-a3e5750cef75,國內紅皮書不同,categoryRedlistTW,";資料缺乏（DD, Data Deficient）",28,https://taxatree.tbn.org.tw/taxa/b340ba34-7986-410f-9d8d-f18e58127fb4
8f2a9d66-47f7-460c-8e02-edd4b812146b,infraspecies,020cfe70-d7cd-4b60-a9ea-a3e5750cef75,Plantae,Hemerocallis fulva aurantiaca,原生 Native,"","資料缺乏（DD, Data Deficient）","",020cfe70-d7cd-4b60-a9ea-a3e5750cef75,國內紅皮書不同,categoryRedlistTW,";資料缺乏（DD, Data Deficient）",4,https://taxatree.tbn.org.tw/taxa/8f2a9d66-47f7-460c-8e02-edd4b812146b
b18e3f07-2ac7-4690-bc68-907a2fd099d9,infraspecies,020cfe70-d7cd-4b60-a9ea-a3e5750cef75,Plantae,Hemerocallis fulva kwanso,外來栽培 Cultivated (non-native),"","","",020cfe70-d7cd-4b60-a9ea-a3e5750cef75,國內紅皮書不同,categoryRedlistTW,";資料缺乏（DD, Data Deficient）",2,https://taxatree.tbn.org.tw/taxa/b18e3f07-2ac7-4690-bc68-907a2fd099d9
06790136-4f2d-435d-8321-ba95fdaf2022,species,a1f3ffa3-2f5a-484f-8b3b-208a65b0b0f1,Plantae,Lilium longiflorum,原生 Native,"","","",06790136-4f2d-435d-8321-ba95fdaf2022,國內紅皮書不同,categoryRedlistTW,";資料缺乏（DD, Data Deficient）;未評估（NE, Not Evaluated）",1088,https://taxatree.tbn.org.tw/taxa/06790136-4f2d-435d-8321-ba95fdaf2022
157c360a-8734-4573-bac0-dcf51499a195,infraspecies,06790136-4f2d-435d-8321-ba95fdaf2022,Plantae,Lilium longiflorum scabrum,原生 Native,"","資料缺乏（DD, Data Deficient）","",06790136-4f2d-435d-8321-ba95fdaf2022,國內紅皮書不同,categoryRedlistTW,";資料缺乏（DD, Data Deficient）;未評估（NE, Not Evaluated）",327,https://taxatree.tbn.org.tw/taxa/157c360a-8734-4573-bac0-dcf51499a195
