TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_taxon_status,TC_is_in_taiwan
2dea56c0-c0d1-4028-969f-6f20135eac3d,kingdom,Animalia,t0000009,Animalia,accepted,TRUE
5f707bc3-8efc-4868-b1be-72363e556ff9,phylum,Animalia,t0000124,Porifera,accepted,TRUE
2a60d3ad-1404-4fa0-8f18-6d8e53643121,phylum,Animalia,t0000099,Arthropoda,accepted,TRUE
2d631ac5-ee8b-486b-8ee6-db30f1c790b8,phylum,Animalia,t0000103,Chordata,accepted,TRUE
39c910b1-6a42-4785-829b-ecb9e63a3631,phylum,Animalia,t0000115,Mollusca,accepted,TRUE
b4c4383d-82d9-470c-b0c6-267a16660735,phylum,Animalia,t0000104,Cnidaria,accepted,TRUE
d90e5190-d84f-414d-998c-9059b0ba3f1c,phylum,Animalia,t0000107,Echinodermata,accepted,TRUE
b5472fc7-2413-4031-bfac-457e39f54368,phylum,Animalia,t0000123,Platyhelminthes,accepted,TRUE
acdf64f4-f03c-467d-b300-95fdac277518,phylum,Animalia,t0000101,Bryozoa,accepted,TRUE
09239f58-2f3a-4df4-afa2-bac599e839e7,phylum,Animalia,t0000102,Chaetognatha,accepted,TRUE
d1ce1bd4-5392-4206-8be0-93f665078fb8,phylum,Animalia,t0000098,Annelida,accepted,TRUE
00dfc23a-d8cb-4c58-b463-7ff5fe4159d6,phylum,Animalia,t0000116,Nematoda,accepted,TRUE
6752fa3c-8925-4686-a0bb-f7ac4da1b3a7,phylum,Animalia,t0000128,Sipuncula,accepted,TRUE
b67c0aa1-20ae-49cb-bda8-bf9dc0273bb0,phylum,Animalia,t0000127,Rotifera,accepted,TRUE
076edf9d-218c-470f-84ec-4bb87d960178,phylum,Animalia,t0000097,Acanthocephala,accepted,TRUE
ba6acfb9-005f-405a-9d0b-c76cbcfe8cef,phylum,Animalia,t0000129,Tardigrada,accepted,TRUE
9c155323-b8cd-4a62-b83e-79ac4e135fd1,phylum,Animalia,t0000118,Nemertea,accepted,TRUE
bd25ad9b-46bd-4f27-98df-e6c80e248461,phylum,Animalia,t0000117,Nematomorpha,accepted,TRUE
7aada0e9-f2fc-4ceb-8667-f459f78372c9,phylum,Animalia,t0000100,Brachiopoda,accepted,TRUE
83a9bce3-8fa5-4368-b298-32858c42dd4c,class,Animalia,t0000489,Demospongiae,accepted,TRUE
13c1a99f-a032-4b18-a26b-3bd87d80a82e,class,Animalia,t0000474,Calcarea,accepted,TRUE
7145922d-56e8-4335-9ace-26199be88a52,class,Animalia,t0000468,Arachnida,accepted,TRUE
1daf6032-f8df-4937-9bdb-a884da4b1e6d,class,Animalia,t0000528,Ostracoda,accepted,TRUE
a803f49d-d367-4db9-b973-d446e665f4e9,class,Animalia,t0000516,Malacostraca,accepted,TRUE
346ca6f6-5941-4a50-9ee9-1eae8850d82d,class,Animalia,t0000518,Maxillopoda,accepted,FALSE
8ffd79d8-3c69-4551-998e-5046f6de99c7,class,Animalia,t0002893,Entognatha,accepted,TRUE
278b22c8-198e-43a6-b074-851061e20a62,class,Animalia,t0000543,Pycnogonida,accepted,TRUE
fed1e06f-3d52-4f12-8dcf-7aeed0552eb0,class,Animalia,t0000473,Branchiopoda,accepted,TRUE
20627f09-dd8a-455d-991e-2cc9714287c5,class,Animalia,t0000490,Diplopoda,accepted,TRUE
61c435a6-2f76-4d87-be14-b17e0b4b4a64,class,Animalia,t0000479,Chilopoda,accepted,TRUE
07f584bd-c69f-4d35-b055-2f15097dfac0,class,Animalia,t0000519,Merostomata,accepted,TRUE
a4bf4963-5d24-4e02-9b11-b8a2ce74bfab,class,Animalia,t0002887,Actinopterygii,deleted,TRUE
beec8449-e5f8-486b-8395-ac587db6c64d,class,Animalia,t0002889,Aves,deleted,TRUE
33faa3f8-689a-48d6-b07e-4892c66051f8,class,Animalia,t0000545,Reptilia,accepted,TRUE
57ec2a7c-cd34-44ad-b6d5-2bc4d5385c93,class,Animalia,t0002891,Chondrichthyes,accepted,FALSE
dc613415-0aa4-49b7-9867-45f810a44f3b,class,Animalia,t0000517,Mammalia,accepted,TRUE
559ea8e2-0d3d-4aaf-97d5-d047ae9680f5,class,Animalia,t0000464,Amphibia,accepted,TRUE
47933c17-4f07-4892-b29b-0274c6a7e972,class,Animalia,t0002888,Amphioxichthyes,accepted,FALSE
c2eaaab4-6e4d-4972-9da2-cd0eff620e06,class,Animalia,t0000557,Thaliacea,accepted,TRUE
1682d8c0-6dd0-43c2-b7c0-afbd412f87bb,class,Animalia,t0000470,Ascidiacea,accepted,TRUE
ec24271f-077e-4001-a8a6-b1b19ad7ebe7,class,Animalia,t0000522,Myxini,accepted,TRUE
a0e5d1c2-fdec-4c20-9956-f44775d0e944,class,Animalia,t0000472,Bivalvia,accepted,TRUE
3951fb9b-a076-484f-b92e-3acf6479c425,class,Animalia,t0000478,Cephalopoda,accepted,TRUE
